Sex,Decile,Age,Population
Females,4.0,39,40003.0
Females,5.0,39,38406.0
Females,6.0,39,37569.0
Females,7.0,39,35357.0
Females,8.0,39,34974.0
Females,9.0,39,34246.0
Females,10.0,39,31440.0
Males,1.0,40,37858.0
Males,2.0,40,40278.0
Males,3.0,40,42332.0
Males,4.0,40,40795.0
Males,5.0,40,38687.0
Males,6.0,40,37397.0
Males,7.0,40,34684.0
Males,8.0,40,33741.0
Males,9.0,40,32421.0
Males,10.0,40,29194.0
Females,1.0,40,39721.0
Females,2.0,40,40591.0
Females,3.0,40,41470.0
Females,4.0,40,39441.0
Females,5.0,40,38057.0
Females,6.0,40,38033.0
Females,7.0,40,35642.0
Females,8.0,40,35510.0
Females,9.0,40,35019.0
Females,10.0,40,32943.0
Males,1.0,41,37358.0
Males,2.0,41,39929.0
Males,3.0,41,42199.0
Males,4.0,41,40870.0
Males,5.0,41,38673.0
Males,6.0,41,37935.0
Males,7.0,41,35418.0
Males,8.0,41,34462.0
Males,9.0,41,33099.0
Males,10.0,41,30623.0
Females,1.0,41,38199.0
Females,2.0,41,39645.0
Females,3.0,41,40629.0
Females,4.0,41,39150.0
Females,5.0,41,38428.0
Females,6.0,41,38038.0
Females,7.0,41,36510.0
Females,8.0,41,36457.0
Females,9.0,41,36125.0
Females,10.0,41,34750.0
Males,1.0,42,37241.0
Males,2.0,42,39727.0
Males,3.0,42,41052.0
Males,4.0,42,39850.0
Males,5.0,42,37916.0
Males,6.0,42,37626.0
Males,7.0,42,35273.0
Males,8.0,42,35190.0
Males,9.0,42,34615.0
Males,10.0,42,33171.0
Females,1.0,42,38058.0
Females,2.0,42,39082.0
Females,3.0,42,39981.0
Females,4.0,42,38630.0
Females,5.0,42,37668.0
Females,6.0,42,38133.0
Females,7.0,42,36562.0
Females,8.0,42,36400.0
Females,9.0,42,37053.0
Females,10.0,42,36655.0
Males,1.0,43,35030.0
Males,2.0,43,37350.0
Males,3.0,43,38695.0
Males,4.0,43,37908.0
Males,5.0,43,36630.0
Males,6.0,43,36527.0
Males,7.0,43,34551.0
Males,8.0,43,34523.0
Males,9.0,43,34141.0
Males,10.0,43,33169.0
Females,1.0,43,34985.0
Females,2.0,43,36524.0
Females,3.0,43,37518.0
Females,4.0,43,36645.0
Females,5.0,43,35797.0
Females,6.0,43,36482.0
Females,7.0,43,35433.0
Females,8.0,43,35508.0
Females,9.0,43,36356.0
Females,10.0,43,36376.0
Males,1.0,44,32329.0
Males,2.0,44,34543.0
Males,3.0,44,35742.0
Males,4.0,44,35218.0
Males,5.0,44,34233.0
Males,6.0,44,34045.0
Males,7.0,44,32371.0
Males,8.0,44,32736.0
Males,9.0,44,32375.0
Males,10.0,44,32017.0
Females,1.0,44,31949.0
Females,2.0,44,33712.0
Females,3.0,44,34689.0
Females,4.0,44,33964.0
Females,5.0,44,33327.0
Females,6.0,44,34037.0
Females,7.0,44,32766.0
Females,8.0,44,33398.0
Females,9.0,44,34003.0
Females,10.0,44,34802.0
Males,1.0,45,31511.0
Males,2.0,45,33209.0
Males,3.0,45,34379.0
Males,4.0,45,34158.0
Males,5.0,45,33515.0
Males,6.0,45,33199.0
Males,7.0,45,32141.0
Males,8.0,45,32681.0
Males,9.0,45,32347.0
Males,10.0,45,32626.0
Females,1.0,45,30857.0
Females,2.0,45,32690.0
Females,3.0,45,33821.0
Females,4.0,45,32987.0
Females,5.0,45,32743.0
Females,6.0,45,33117.0
Females,7.0,45,32568.0
Females,8.0,45,33601.0
Females,9.0,45,33891.0
Females,10.0,45,35167.0
Males,1.0,46,31941.0
Males,2.0,46,33731.0
Males,3.0,46,34928.0
Males,4.0,46,34722.0
Males,5.0,46,33335.0
Males,6.0,46,34153.0
Males,7.0,46,32542.0
Males,8.0,46,32734.0
Males,9.0,46,32937.0
Males,10.0,46,33685.0
Females,1.0,46,32127.0
Females,2.0,46,33245.0
Females,3.0,46,34338.0
Females,4.0,46,33639.0
Females,5.0,46,33408.0
Females,6.0,46,33995.0
Females,7.0,46,33122.0
Females,8.0,46,33812.0
Females,9.0,46,34860.0
Females,10.0,46,35554.0
Males,1.0,47,32241.0
Males,2.0,47,33470.0
Males,3.0,47,35122.0
Males,4.0,47,34312.0
Males,5.0,47,34301.0
Males,6.0,47,34160.0
Males,7.0,47,33622.0
Males,8.0,47,34210.0
Males,9.0,47,33977.0
Males,10.0,47,35300.0
Females,1.0,47,31674.0
Females,2.0,47,33697.0
Females,3.0,47,34331.0
Females,4.0,47,34074.0
Females,5.0,47,33745.0
Females,6.0,47,34360.0
Females,7.0,47,34073.0
Females,8.0,47,34964.0
Females,9.0,47,36037.0
Females,10.0,47,37631.0
Males,1.0,48,31926.0
Males,2.0,48,33290.0
Males,3.0,48,35125.0
Males,4.0,48,34406.0
Males,5.0,48,34350.0
Males,6.0,48,34841.0
Males,7.0,48,34375.0
Males,8.0,48,34917.0
Males,9.0,48,35408.0
Males,10.0,48,36598.0
Females,1.0,48,32121.0
Females,2.0,48,34039.0
Females,3.0,48,34324.0
Females,4.0,48,33787.0
Females,5.0,48,34622.0
Females,6.0,48,35410.0
Females,7.0,48,35273.0
Females,8.0,48,36116.0
Females,9.0,48,36850.0
Females,10.0,48,38453.0
Males,1.0,49,33014.0
Males,2.0,49,34401.0
Males,3.0,49,35913.0
Males,4.0,49,35589.0
Males,5.0,49,36407.0
Males,6.0,49,36347.0
Males,7.0,49,35975.0
Males,8.0,49,36752.0
Males,9.0,49,37195.0
Males,10.0,49,38008.0
Females,1.0,49,33356.0
Females,2.0,49,35141.0
Females,3.0,49,35711.0
Females,4.0,49,35543.0
Females,5.0,49,35756.0
Females,6.0,49,36770.0
Females,7.0,49,37169.0
Females,8.0,49,37788.0
Females,9.0,49,37975.0
Females,10.0,49,39865.0
Males,1.0,50,34093.0
Males,2.0,50,35302.0
Males,3.0,50,36772.0
Males,4.0,50,37088.0
